#{"t_start": 1743518433.805051, "env_id": "PathColav3d-v0"}
r,l,t
-1095.689627,706,14.891698
-973.678995,2148,85.107023
-283.401093,2169,155.223486
-222.637192,2160,223.583367
-369.499322,2245,297.629787
---303.662619,2237,325.959743-438.416477,2207,389.956606
-269.501671,2200,453.166988
-695.302041,2232,513.877188
-1-858.27578,2222,557.344839
-1006.487602,1177,593.162549
-888.887753,2193,663.392697
-224.675526,2202,727.948217
-313.793884,2209,790.508868
-621.849634,2156,851.739069
-233.401565,2184,913.544651
-250.468478,2238,977.269484
-306.955832,2228,1040.549468
-123.90629,2247,1105.539473
-193.883098,2171,1170.386894
-213.340097,2320,1237.978838
-133.271703,2233,1302.331658
-144.258666,2263,1369.224749
-130.097328,2169,1431.641878
-125.240939,2151,1494.556682
-125.654822,2203,1556.260901
--108.213146,2180,1620.024893
--106.385921,2187,1686.015496
--120.14485,2183,1751.897096
--91.702403,2186,1817.200323
--132.21792,2203,1881.768736
--88.161162,2204,1947.563736
-80.734921,2094,2008.905647
-103.866955,2130,2069.112386
-117.606598,2228,2132.183713
-105.934802,2239,2195.977769-9-100.750048,2199,2261.66808-12-130.469601,2179,2325.91427-10-102.315965,2150,2384.82274-12-119.845655,2215,2450.68042-11-89.110826,2141,2512.915343-8-111.561648,2230,2578.94545-12-106.952046,2183,2645.06424-97-109.122938,2235,2709.6091-91.-102.505273,2178,2773.25-99.87-122.706449,2267,2839.9-175.42-115.389111,2291,2907.1-95.557-119.420033,2194,2973.-103.562-121.342898,2221,3039.-127.253-104.825608,2197,3101.-108.196-86.822675,2141,3164.1-86.987-115.464312,2238,3231.-106.647-114.728242,2241,3296.868626
53,2200,3209.834356
-81.481989,2117,3271.336683
384737
-128.23265,2211,3305.030172
