#{"t_start": 1743989753.976921, "env_id": "PathColav3d-v0"}
r,l,t
--179.425426,2316,68.710148
-526.370122,2482,184.860772
-160.293917,2357,269.682912
-170.037001,2277,368.710264
--145.920379,2323,469.950459
-156.375292,2355,586.782933
-158.044635,2411,702.554529
-149.883837,2269,815.436844
-365.899883,2352,931.603256
--149.515674,2278,1039.952383
--154.36365,2371,1152.071113
-174.432865,2463,1268.09548
-1015.790188,1112,1335.612886
-162.046484,2306,1441.926766
-1090.728272,1212,1509.747312-6-239.926199,2472,1605.47173-10-171.52309,2519,1735.385218
--140.207296,2168,1843.423456
--195.38563,2397,1947.029096
-231.930957,2420,2064.043622
-237.056944,2449,2175.989654
-215.64899,2183,2288.832333
-180.784651,2305,2401.004566
-187.253355,2214,2506.279962
-1052.639979,956,2550.441724
-1005.026153,1562,2625.107904-1-161.243774,2278,2732.994447-2-157.593325,2287,2845.576726-2-237.515152,2350,2971.172846-1-142.484768,2320,3083.626911-1-200.899947,2635,3209.797472-1-200.395739,2369,3318.392194-1-195.727459,2232,3411.529329-2-209.218332,2456,3520.082975-1-671.132924,2231,3630.57515-1-178.279659,2321,3737.019584
-152.125837,2295,3850.949012
-200.144454,2432,3976.958763
-167.218145,2337,4092.269526
-1004.119614,1637,4181.185985
-258.805333,2290,4276.52928
-1003.285568,1370,4327.974578
-187.161404,2309,4437.632852
-166.747484,2345,4550.881632
-183.937646,2365,4666.976063
-142.480238,2305,4783.698013
-205.436038,2272,4885.52955
-1113.970152,1367,4937.693576
-149.697703,2120,5043.431023
-652.843843,2459,5163.888742
-195.067752,2263,5262.318333
-182.566794,2414,5368.347184
-187.088549,2214,5472.950089
-337.211847,2383,5573.20131-20-155.098657,2410,5695.08137-16-176.156835,2422,5815.39653-2-182.550522,2234,5931.185095-1-174.958811,2307,6043.8939-192-161.391135,2169,6158.6254-205-164.427024,2223,6255.8278-143-197.336758,2307,6375.0079-197-189.697739,2323,6483.4686-248-197.742448,2330,6597.5110-173-110.456627,2359,6710.4174-189-1068.61765,1406,6778.349-173.-244.140913,2444,6885.86-255.6-135.572218,2299,6996.6-110.40-168.385794,2444,7112.3-123.00-128.435766,2362,7226.-178.282-211.140488,2494,7342.-182.178-145.987003,2400,7465.-178.794-194.461975,2537,7583.-184.514-134.750895,2143,7686.-173.11-147.220707,2106,7774.6-151.67-190.106382,2368,7872.2-315.99-164.113907,2349,7989.3-169.30-148.674338,2356,8106.2-130.21-173.258514,2469,8217.-163.868-154.618009,2324,8318.-119.343-177.809643,2311,8438.-1170.16-323.397124,2545,8554.9-183.93-153.959274,2212,8670.0-168.61-169.506197,2337,8779.2-119.14-97.102344,2212,8882.407777
-169.149828,2327,8891.293098
.714864,2148,8768.389271
-147.040124,2346,8876.212001
