#{"t_start": 1743946036.152916, "env_id": "PathColav3d-v0"}
r,l,t
--1000.015449,3047,61.436757-1-823.207741,2507,109.749712-5-668.391887,2423,156.627132-930.630282,2835,202.639366
-666.139534,2510,250.27023
-565.930689,2274,293.681564
-369.50753,2208,337.769836
-37-423.938323,2441,383.43488-42-360.735158,2434,429.78433-310.877788,2326,471.18048
-341.096202,2350,518.719566
-311.156666,2367,564.537016
-267.969808,2288,609.097825
-243.737688,2331,652.634729
-194.963276,2133,693.447267
-196.437274,2184,734.946002
-211.046484,2287,777.668905
-182.561915,2180,816.328157
-182.215976,2309,857.391811
-166.845112,2187,896.67487
-145.977521,2169,935.196249
-130.601575,2068,972.251062
-136.248144,2291,1012.74305
-138.197698,2160,1049.951666
-362.723284,2270,1089.753136
-108.474993,2211,1129.995314
-105.473268,2045,1165.677148
-118.171967,2269,1205.758551
-88.492823,2195,1244.154378
-90.143381,2237,1282.974972
-481.349687,2193,1321.46339
-702.150564,2220,1366.774815
-79.325113,2215,1407.38031
17--145.991142,2226,1407.960437
69.35371,2151,1372.058011
