#{"t_start": 1743998656.9569283, "env_id": "PathColav3d-v0"}
r,l,t
-250.181204,3662,133.354575-1-270.067217,3546,321.462875-1-252.041882,2371,435.39141--1-1010.099167,1985,529.7981-18--296.741922,2717,649.544698
-208.484752,3189,798.203042
-203.731501,2760,926.693634
-190.02853,2736,1060.703049
-156.795011,2934,1187.761515
-1004.018483,487,1212.48-193.9-134.829754,1988,1290.82-187.077769,3029,1415.222131
-211.-222.166977,3776,1589.750-1125-231.831169,3537,1739.2993-155-179.139919,3143,1872.831502
-394.231881,2675,2012.479593
-1004.020293,1483,2072.052802
-152.532584,2955,2209.088026
-196.159307,3622,2361.781618
-150.168282,2699,2492.370653
-123.21165,2030,2589.256006
-253.928639,2780,2716.621427
-137.825779,3049,2869.885209
-196.09475,3507,3031.355592
-185.437994,1867,3124.258725
-185.165865,2042,3218.067321
-136.982527,1800,3303.041668
-185.279436,2238,3405.598715
-184.551624,2990,3545.021722
-213.502263,3062,3684.431179
-1045.87563,1239,3744.666469
-172.572006,2347,3847.011661
-215.455693,2054,3946.798281
-169.329323,3496,4121.456235
-291.173899,2980,4244.589832
-1039.69631,684,4275.61734
-192.332557,2786,4418.205579
-200.24314,2125,4520.019334
-249.54092,3188,4650.223673
-490.461582,3113,4805.28581
-153.014688,1783,4874.684406
-262.40802,2696,4982.647088
-157.796381,2032,5093.485228
-214.52722,3154,5230.744161
-1136.465319,826,5249.690711
-150.567082,1838,5351.296361
-137.87454,1772,5413.701559
--149.674764,3638,5496.963316
-237.94591,3061,5629.179629
-166.345041,2859,5751.52066
-363.862581,2579,5877.468304
-1093.152545,1086,5912.286394
-222.969195,3256,6051.516347
-1022.573133,652,6088.155621
-160.559776,1990,6161.5664
-259.496062,1739,6228.77525
-264.882243,3781,6401.789775
-158.477064,3081,6527.854515
-236.895123,2951,6659.15965
-187.524977,2161,6774.783853
-183.357012,3738,6949.708182
-230.279425,4001,7124.248842
-1069.774454,1972,7218.184597
-192.617043,2165,7295.542753
-144.978687,2080,7400.183748
-1104.958751,1683,7469.504842
-209.483566,1788,7558.468824
-1116.489903,666,7580.103501
-207.18123,2186,7682.612449
-763.317102,2786,7811.386295
-210.449787,2753,7923.067355
-117-190.142555,2844,8017.9807-241.619491,3600,8169.974643
-252.851994,3409,8325.579049
-208.302763,3171,8462.083082
-341.35907,3599,8610.070515
-250.429141,3363,8777.676977
-209.164394,2874,8923.245049
-186.963254,2008,9005.738853
-251.257133,3409,9169.937878
-1-358.628646,3186,9287.176923-279.428068,1935,9360.239274
-239.363661,3674,9513.169153
-296.76943,3480,9659.231667
-276.95869,3197,9809.745875
-1015.442382,656,9832.566405
-191.952351,1915,9912.386853
-185.47452,3639,10079.984138
-1007.215702,1671,10162.03998
518
620,10098.942261
-1000.045626,1351,10165.286539
1023.720545,1085,9996.880435
-717.605183,3040,10143.845825
